arm,respondent,condition,filter,n_likert_used,likert_mae,likert_within1_pct,n_cat_used,cat_acc_pct,n_strong_dropped,n_soft_dropped
study1,study1_interview_p1,A_demographics,full_eval,12,0.833,75.0,3,66.7,0,0
study1,study1_interview_p1,A_demographics,strict_clean,10,0.7,80.0,2,50.0,3,0
study1,study1_interview_p1,A_demographics,broad_clean,6,1,66.7,1,0.0,3,5
study1,study1_interview_p1,B_description,full_eval,12,0.917,75.0,3,66.7,0,0
study1,study1_interview_p1,B_description,strict_clean,10,0.8,80.0,2,50.0,3,0
study1,study1_interview_p1,B_description,broad_clean,6,1,66.7,1,0.0,3,5
study1,study1_interview_p1,C_interview,full_eval,12,0.083,100.0,3,100.0,0,0
study1,study1_interview_p1,C_interview,strict_clean,10,0.1,100.0,2,100.0,3,0
study1,study1_interview_p1,C_interview,broad_clean,6,0,100.0,1,100.0,3,5
study1,study1_interview_p2,A_demographics,full_eval,12,1.167,66.7,3,100.0,0,0
study1,study1_interview_p2,A_demographics,strict_clean,10,1.2,60.0,2,100.0,3,0
study1,study1_interview_p2,A_demographics,broad_clean,4,1,75.0,0,,3,8
study1,study1_interview_p2,B_description,full_eval,12,0.75,91.7,3,66.7,0,0
study1,study1_interview_p2,B_description,strict_clean,10,0.8,90.0,2,50.0,3,0
study1,study1_interview_p2,B_description,broad_clean,4,0.75,75.0,0,,3,8
study1,study1_interview_p2,C_interview,full_eval,12,0,100.0,3,100.0,0,0
study1,study1_interview_p2,C_interview,strict_clean,10,0,100.0,2,100.0,3,0
study1,study1_interview_p2,C_interview,broad_clean,4,0,100.0,0,,3,8
study2,study2_survey_p1,A_demographics,full_eval,12,0.5,91.7,3,33.3,0,0
study2,study2_survey_p1,A_demographics,strict_clean,12,0.5,91.7,3,33.3,0,0
study2,study2_survey_p1,A_demographics,broad_clean,10,0.6,90.0,0,,0,5
study2,study2_survey_p1,D_survey,full_eval,12,0.833,83.3,3,33.3,0,0
study2,study2_survey_p1,D_survey,strict_clean,12,0.833,83.3,3,33.3,0,0
study2,study2_survey_p1,D_survey,broad_clean,10,1,80.0,0,,0,5
study2,study2_survey_p1,D_loo_drop_demographic,full_eval,12,1.167,75.0,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_demographic,strict_clean,12,1.167,75.0,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_demographic,broad_clean,10,1.3,70.0,0,,0,5
study2,study2_survey_p1,D_loo_drop_behavioral,full_eval,12,0.833,83.3,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_behavioral,strict_clean,12,0.833,83.3,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_behavioral,broad_clean,10,1,80.0,0,,0,5
study2,study2_survey_p1,D_loo_drop_psychological,full_eval,12,0.917,83.3,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_psychological,strict_clean,12,0.917,83.3,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_psychological,broad_clean,10,1.1,80.0,0,,0,5
study2,study2_survey_p1,D_loo_drop_attitudinal,full_eval,12,0.583,91.7,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_attitudinal,strict_clean,12,0.583,91.7,3,33.3,0,0
study2,study2_survey_p1,D_loo_drop_attitudinal,broad_clean,10,0.7,90.0,0,,0,5
