model,prompt,item,K,tx,em,em_ci_lo,em_ci_hi,mae_raw,mae_normalized,mae_norm_ci_lo,mae_norm_ci_hi,w1,n_eff,parse_fail_rate,rnd_em,maj_em,lift_rnd,lift_maj,pred_distinct_codes,pred_top1_share,cost_per_call
q3m,P0,POLVIEWS,7,ord,0.2526,0.1947,0.3158,1.3395,0.2232,0.1969,0.2504,0.6026,380,0.0,0.1429,0.3316,0.1281,-0.1181,6,0.3816,0.00098
q3m,P0,PARTYID,8,ord,0.302,0.2411,0.3681,1.2732,0.1943,0.1682,0.2212,0.6193,394,0.0,0.125,0.1827,0.2023,0.146,7,0.3858,0.00098
q3m,P0,ABANY,2,cat,0.5746,0.4925,0.6567,,0.4254,0.3433,0.5075,,268,0.0,0.5,0.5746,0.1493,0.0,2,0.7761,0.00098
q3m,P0,CAPPUN,2,cat,0.5976,0.5122,0.6829,,0.4024,0.3171,0.4878,,246,0.0,0.5,0.6179,0.1951,-0.0532,2,0.6301,0.00098
q3m,P0,GUNLAW,2,cat,0.7068,0.6278,0.7782,,0.2932,0.2218,0.3722,,266,0.0,0.5,0.7068,0.4135,0.0,2,0.9474,0.00098
q3m,P0,FECHLD,4,ord,0.3477,0.2695,0.4297,0.8984,0.2995,0.2565,0.3451,0.7852,256,0.0,0.25,0.4219,0.1302,-0.1284,4,0.4531,0.00098
q3m,P0,FEPOL,2,cat,0.783,0.679,0.8774,,0.217,0.1226,0.321,,106,0.0,0.5,0.8491,0.566,-0.4375,2,0.8019,0.00098
q3m,P0,RACDIF1,2,cat,0.7083,0.5917,0.825,,0.2917,0.175,0.4083,,120,0.0,0.5,0.6,0.4167,0.2708,2,0.5583,0.00098
q3m,P0,CONFINAN,3,ord,0.4848,0.4015,0.5682,0.5303,0.2652,0.2235,0.3087,0.9848,264,0.0,0.3333,0.553,0.2273,-0.1525,2,0.8788,0.00098
q3m,P0,CONLEGIS,3,ord,0.5234,0.4297,0.6094,0.5234,0.2617,0.2109,0.3125,0.9531,256,0.0,0.3333,0.5234,0.2852,0.0,1,1.0,0.00098
q3m,P0,HELPPOOR,5,ord,0.2578,0.1875,0.3281,1.0469,0.2617,0.2256,0.2998,0.7852,256,0.0,0.2,0.4141,0.0723,-0.2667,5,0.3633,0.00098
q3m,P0,SATFIN,3,ord,0.4548,0.3869,0.5251,0.593,0.2965,0.255,0.3367,0.9523,398,0.0,0.3333,0.4523,0.1822,0.0046,3,0.5528,0.00098
q3m,P1,POLVIEWS,7,ord,0.2947,0.2342,0.3579,1.2763,0.2127,0.1842,0.2404,0.6263,380,0.0,0.1429,0.3316,0.1772,-0.0551,7,0.2711,0.00098
q3m,P1,PARTYID,8,ord,0.2995,0.2335,0.3629,1.3307,0.2107,0.1827,0.2415,0.5812,394,0.0,0.125,0.1827,0.1994,0.1429,8,0.4264,0.00098
q3m,P1,ABANY,2,cat,0.6157,0.5336,0.6978,,0.3843,0.3022,0.4664,,268,0.0,0.5,0.5746,0.2313,0.0965,2,0.7425,0.00098
q3m,P1,CAPPUN,2,cat,0.5854,0.4959,0.6707,,0.4146,0.3293,0.5041,,246,0.0,0.5,0.6179,0.1707,-0.0851,2,0.561,0.00098
q3m,P1,GUNLAW,2,cat,0.7105,0.6391,0.782,,0.2895,0.218,0.3609,,266,0.0,0.5,0.7068,0.4211,0.0128,2,0.8459,0.00098
q3m,P1,FECHLD,4,ord,0.3398,0.2617,0.4181,0.9336,0.3112,0.2643,0.3607,0.7852,256,0.0,0.25,0.4219,0.1198,-0.1419,4,0.4648,0.00098
q3m,P1,FEPOL,2,cat,0.783,0.6698,0.8774,,0.217,0.1226,0.3302,,106,0.0,0.5,0.8491,0.566,-0.4375,2,0.6698,0.00098
q3m,P1,RACDIF1,2,cat,0.7083,0.6,0.8169,,0.2917,0.1831,0.4,,120,0.0,0.5,0.6,0.4167,0.2708,2,0.5583,0.00098
q3m,P1,CONFINAN,3,ord,0.4697,0.3864,0.5492,0.553,0.2765,0.233,0.322,0.9773,264,0.0,0.3333,0.553,0.2045,-0.1864,2,0.8333,0.00098
q3m,P1,CONLEGIS,3,ord,0.5234,0.4297,0.6094,0.5234,0.2617,0.2109,0.3125,0.9531,256,0.0,0.3333,0.5234,0.2852,0.0,1,1.0,0.00098
q3m,P1,HELPPOOR,5,ord,0.2422,0.1719,0.3125,1.0508,0.2627,0.2266,0.3027,0.8125,256,0.0,0.2,0.4141,0.0527,-0.2933,5,0.4922,0.00098
q3m,P1,SATFIN,3,ord,0.5302,0.4623,0.5955,0.5201,0.2601,0.2211,0.3003,0.9497,398,0.0,0.3333,0.4523,0.2952,0.1422,3,0.6357,0.00098
q3m,P2,POLVIEWS,7,ord,0.2816,0.2211,0.3421,1.2658,0.211,0.186,0.2368,0.5947,380,0.0,0.1429,0.3316,0.1618,-0.0748,7,0.4237,0.00098
q3m,P2,PARTYID,8,ord,0.3274,0.2639,0.3909,1.272,0.2212,0.1893,0.2556,0.5838,394,0.0,0.125,0.1827,0.2313,0.177,8,0.4112,0.00098
q3m,P2,ABANY,2,cat,0.6082,0.5224,0.6866,,0.3918,0.3134,0.4776,,268,0.0,0.5,0.5746,0.2164,0.0789,2,0.7052,0.00098
q3m,P2,CAPPUN,2,cat,0.5854,0.4959,0.6707,,0.4146,0.3293,0.5041,,246,0.0,0.5,0.6179,0.1707,-0.0851,2,0.5854,0.00098
