model,prompt,item,K,tx,em,em_ci_lo,em_ci_hi,mae_raw,mae_normalized,mae_norm_ci_lo,mae_norm_ci_hi,w1,n_eff,parse_fail_rate,rnd_em,maj_em,lift_rnd,lift_maj,pred_distinct_codes,pred_top1_share,cost_per_call
q3m,P0,POLVIEWS,7,ord,0.2656,0.1823,0.3542,1.3542,0.2257,0.1892,0.2639,0.5781,192,0.0,0.1429,0.3438,0.1432,-0.119,6,0.3698,0.00098
q3m,P0,PARTYID,8,ord,0.2879,0.2071,0.3737,1.3385,0.2157,0.1732,0.2633,0.596,198,0.0,0.125,0.1515,0.1861,0.1607,7,0.3687,0.00098
q3m,P0,ABANY,2,cat,0.5515,0.4412,0.6691,,0.4485,0.3309,0.5588,,136,0.0,0.5,0.5441,0.1029,0.0161,2,0.8015,0.00098
q3m,P0,CAPPUN,2,cat,0.5656,0.4426,0.6885,,0.4344,0.3115,0.5574,,122,0.0,0.5,0.5574,0.1311,0.0185,2,0.5984,0.00098
q3m,P0,GUNLAW,2,cat,0.7353,0.6324,0.8456,,0.2647,0.1544,0.3676,,136,0.0,0.5,0.75,0.4706,-0.0588,2,0.9559,0.00098
q3m,P0,FECHLD,4,ord,0.379,0.2661,0.5,0.8145,0.2715,0.2097,0.3306,0.8226,124,0.0,0.25,0.4355,0.172,-0.1,4,0.4516,0.00098
q3m,P0,FEPOL,2,cat,0.8148,0.6667,0.9444,,0.1852,0.0556,0.3333,,54,0.0,0.5,0.8519,0.6296,-0.25,2,0.8519,0.00098
q3m,P0,RACDIF1,2,cat,0.7419,0.5806,0.871,,0.2581,0.129,0.4194,,62,0.0,0.5,0.5484,0.4839,0.4286,2,0.6129,0.00098
q3m,P0,CONFINAN,3,ord,0.4701,0.3507,0.5896,0.5522,0.2761,0.2127,0.3359,0.9776,134,0.0,0.3333,0.5373,0.2052,-0.1452,2,0.8507,0.00098
q3m,P0,CONLEGIS,3,ord,0.5781,0.4531,0.7031,0.5156,0.2578,0.1797,0.3438,0.9062,128,0.0,0.3333,0.5781,0.3672,0.0,1,1.0,0.00098
q3m,P0,HELPPOOR,5,ord,0.2698,0.1667,0.381,1.0397,0.2599,0.2063,0.3194,0.8016,126,0.0,0.2,0.4127,0.0873,-0.2432,5,0.4524,0.00098
q3m,P0,SATFIN,3,ord,0.545,0.445,0.64,0.505,0.2525,0.1975,0.3126,0.95,200,0.0,0.3333,0.5,0.3175,0.09,3,0.475,0.00098
ds31,P0,POLVIEWS,7,ord,0.349,0.2552,0.4427,0.9896,0.1649,0.1354,0.1962,0.7292,192,0.0,0.1429,0.3438,0.2405,0.0079,5,0.2812,0.00032
