item,n,base_rate_em,base_mode,no_persona_em_mode,no_persona_em_expected,prior_mode,prior_distinct,K,cell_em,lift_over_base,lift_over_no_persona,prior_dist
POLVIEWS,190,0.3316,4,0.1421,0.1697,2,5,7,0.3493,0.0265,0.2415,"{""4"": 6, ""2"": 25, ""3"": 6, ""5"": 1, ""6"": 2}"
PARTYID,197,0.1827,3,0.1269,0.1376,0,7,8,0.3376,0.1895,0.2413,"{""0"": 24, ""6"": 10, ""5"": 1, ""1"": 1, ""2"": 1, ""3"": 2, ""4"": 1}"
ABANY,134,0.5746,1,0.5746,0.5631,1,2,2,0.7197,0.341,0.341,"{""1"": 36, ""2"": 3}"
CAPPUN,123,0.6179,1,0.6179,0.5766,1,2,2,0.639,0.0553,0.0553,"{""1"": 33, ""2"": 7}"
GUNLAW,133,0.7068,1,0.7068,0.6861,1,2,2,0.7338,0.0922,0.0922,"{""1"": 38, ""2"": 2}"
FECHLD,128,0.4219,2,0.3438,0.3458,1,2,4,0.4111,-0.0186,0.1026,"{""1"": 38, ""2"": 1}"
FEPOL,53,0.8491,2,0.8491,0.8316,2,2,2,0.6321,-1.4373,-1.4373,"{""2"": 39, ""1"": 1}"
RACDIF1,60,0.6,1,0.6,0.5692,1,2,2,0.7069,0.2672,0.2672,"{""1"": 33, ""2"": 6}"
CONFINAN,132,0.553,2,0.553,0.4848,2,2,3,0.5115,-0.0929,-0.0929,"{""2"": 31, ""3"": 9}"
CONLEGIS,128,0.5234,3,0.5234,0.5234,3,1,3,0.5748,0.1078,0.1078,"{""3"": 38}"
HELPPOOR,128,0.4141,3,0.4141,0.2508,3,5,5,0.3465,-0.1153,-0.1153,"{""1"": 12, ""3"": 13, ""4"": 5, ""2"": 7, ""5"": 2}"
SATFIN,199,0.4523,2,0.4523,0.3856,2,3,3,0.4608,0.0156,0.0156,"{""2"": 28, ""3"": 1, ""1"": 11}"
